timestamp,scenario,intersection_id,direction,density,queue,avg_speed,flow,capacity,phase
1.0,normal,C,N,0.02,0.0,13.89,0.0,50.0,0.0
1.0,normal,C,S,0.02,0.0,13.89,0.0,50.0,0.0
1.0,normal,C,E,0.02,0.0,13.03,0.0,50.0,0.0
1.0,normal,C,W,0.02,0.0,13.89,0.0,50.0,0.0
5.0,normal,C,N,0.04,0.0,13.56,0.0,50.0,0.0
5.0,normal,C,S,0.02,0.0,14.41,0.0,50.0,0.0
5.0,normal,C,E,0.02,0.0,12.44,0.0,50.0,0.0
5.0,normal,C,W,0.02,0.0,13.69,0.0,50.0,0.0
10.0,normal,C,N,0.06,0.0,13.15,0.0,50.0,0.0
10.0,normal,C,S,0.04,0.0,13.64,0.0,50.0,0.0
10.0,normal,C,E,0.04,0.0,13.06,0.0,50.0,0.0
10.0,normal,C,W,0.04,0.0,12.56,0.0,50.0,0.0
15.0,normal,C,N,0.06,0.0,12.96,0.0,50.0,0.0
15.0,normal,C,S,0.02,0.0,12.99,2.0,50.0,0.0
15.0,normal,C,E,0.04,0.0,13.35,0.0,50.0,0.0
15.0,normal,C,W,0.04,0.0,8.07,0.0,50.0,0.0
20.0,normal,C,N,0.04,0.0,12.28,4.0,50.0,0.0
20.0,normal,C,S,0.04,0.0,12.81,2.0,50.0,0.0
20.0,normal,C,E,0.06,1.0,9.42,0.0,50.0,0.0
20.0,normal,C,W,0.06,1.0,7.28,0.0,50.0,0.0
25.0,normal,C,N,0.04,0.0,12.92,4.0,50.0,0.0
25.0,normal,C,S,0.04,0.0,12.68,2.0,50.0,0.0
25.0,normal,C,E,0.08,2.0,4.82,0.0,50.0,0.0
25.0,normal,C,W,0.08,1.0,7.95,0.0,50.0,0.0
30.0,normal,C,N,0.04,0.0,12.9,6.0,50.0,0.0
30.0,normal,C,S,0.04,0.0,12.66,4.0,50.0,0.0
30.0,normal,C,E,0.08,2.0,4.71,0.0,50.0,0.0
30.0,normal,C,W,0.1,2.0,6.54,0.0,50.0,0.0
35.0,normal,C,N,0.02,0.0,11.87,8.0,50.0,0.0
35.0,normal,C,S,0.04,0.0,11.85,6.0,50.0,0.0
35.0,normal,C,E,0.1,3.0,4.23,0.0,50.0,0.0
35.0,normal,C,W,0.1,3.0,4.01,0.0,50.0,0.0
40.0,normal,C,N,0.04,0.0,13.0,8.0,50.0,0.0
40.0,normal,C,S,0.06,0.0,13.3,6.0,50.0,0.0
40.0,normal,C,E,0.12,3.0,3.56,0.0,50.0,0.0
40.0,normal,C,W,0.14,4.0,3.56,0.0,50.0,0.0
45.0,normal,C,N,0.04,0.0,13.15,10.0,50.0,1.0
45.0,normal,C,S,0.08,1.0,10.07,6.0,50.0,1.0
45.0,normal,C,E,0.14,4.0,4.9,0.0,50.0,1.0
45.0,normal,C,W,0.16,4.0,3.54,0.0,50.0,1.0
50.0,normal,C,N,0.04,0.0,10.1,10.0,50.0,2.0
50.0,normal,C,S,0.08,1.0,5.04,4.0,50.0,2.0
50.0,normal,C,E,0.12,0.0,6.15,4.0,50.0,2.0
50.0,normal,C,W,0.12,0.0,6.84,4.0,50.0,2.0
55.0,normal,C,N,0.06,1.0,7.5,6.0,50.0,2.0
55.0,normal,C,S,0.1,3.0,4.31,4.0,50.0,2.0
55.0,normal,C,E,0.1,0.0,10.4,8.0,50.0,2.0
55.0,normal,C,W,0.1,0.0,9.79,8.0,50.0,2.0
60.0,normal,C,N,0.06,1.0,5.44,6.0,50.0,2.0
60.0,normal,C,S,0.12,4.0,3.21,4.0,50.0,2.0
60.0,normal,C,E,0.08,0.0,12.84,14.0,50.0,2.0
60.0,normal,C,W,0.06,0.0,13.47,14.0,50.0,2.0
65.0,normal,C,N,0.08,2.0,5.9,4.0,50.0,2.0
65.0,normal,C,S,0.12,4.0,3.01,2.0,50.0,2.0
65.0,normal,C,E,0.1,0.0,12.77,14.0,50.0,2.0
65.0,normal,C,W,0.04,0.0,13.03,18.0,50.0,2.0
70.0,normal,C,N,0.1,3.0,3.46,2.0,50.0,2.0
70.0,normal,C,S,0.14,5.0,3.28,0.0,50.0,2.0
70.0,normal,C,E,0.06,0.0,13.46,18.0,50.0,2.0
70.0,normal,C,W,0.06,0.0,12.86,18.0,50.0,2.0
75.0,normal,C,N,0.12,3.0,6.05,2.0,50.0,2.0
75.0,normal,C,S,0.14,6.0,2.0,0.0,50.0,2.0
75.0,normal,C,E,0.04,0.0,13.5,22.0,50.0,2.0
75.0,normal,C,W,0.06,0.0,13.36,20.0,50.0,2.0
80.0,normal,C,N,0.14,4.0,4.72,0.0,50.0,2.0
80.0,normal,C,S,0.18,6.0,2.32,0.0,50.0,2.0
80.0,normal,C,E,0.02,0.0,12.74,24.0,50.0,2.0
80.0,normal,C,W,0.04,0.0,13.34,22.0,50.0,2.0
85.0,normal,C,N,0.14,5.0,2.01,0.0,50.0,2.0
85.0,normal,C,S,0.22,7.0,3.23,0.0,50.0,2.0
85.0,normal,C,E,0.04,0.0,12.99,20.0,50.0,2.0
85.0,normal,C,W,0.04,0.0,15.05,20.0,50.0,2.0
90.0,normal,C,N,0.16,6.0,2.32,0.0,50.0,3.0
90.0,normal,C,S,0.22,7.0,3.58,0.0,50.0,3.0
90.0,normal,C,E,0.04,0.0,12.51,18.0,50.0,3.0
90.0,normal,C,W,0.04,0.0,14.41,18.0,50.0,3.0
95.0,normal,C,N,0.12,1.0,3.36,4.0,50.0,0.0
95.0,normal,C,S,0.2,4.0,2.12,4.0,50.0,0.0
95.0,normal,C,E,0.08,0.0,11.14,12.0,50.0,0.0
95.0,normal,C,W,0.06,0.0,6.81,12.0,50.0,0.0
100.0,normal,C,N,0.1,0.0,6.98,8.0,50.0,0.0
100.0,normal,C,S,0.16,2.0,4.4,8.0,50.0,0.0
100.0,normal,C,E,0.1,1.0,9.61,12.0,50.0,0.0
100.0,normal,C,W,0.06,1.0,9.32,8.0,50.0,0.0
105.0,normal,C,N,0.06,0.0,11.9,14.0,50.0,0.0
105.0,normal,C,S,0.12,0.0,7.55,14.0,50.0,0.0
105.0,normal,C,E,0.12,1.0,8.28,8.0,50.0,0.0
105.0,normal,C,W,0.08,2.0,6.73,8.0,50.0,0.0
110.0,normal,C,N,0.04,0.0,13.53,16.0,50.0,0.0
110.0,normal,C,S,0.1,0.0,11.15,18.0,50.0,0.0
110.0,normal,C,E,0.12,3.0,2.72,4.0,50.0,0.0
110.0,normal,C,W,0.1,3.0,4.02,6.0,50.0,0.0
115.0,normal,C,N,0.04,0.0,12.52,18.0,50.0,0.0
115.0,normal,C,S,0.04,0.0,12.7,24.0,50.0,0.0
115.0,normal,C,E,0.14,5.0,2.62,2.0,50.0,0.0
115.0,normal,C,W,0.1,3.0,4.26,4.0,50.0,0.0
120.0,normal,C,N,0.04,0.0,12.98,18.0,50.0,0.0
120.0,normal,C,S,0.04,0.0,14.26,26.0,50.0,0.0
120.0,normal,C,E,0.16,6.0,2.29,2.0,50.0,0.0
120.0,normal,C,W,0.12,4.0,3.46,2.0,50.0,0.0
125.0,normal,C,N,0.04,0.0,12.97,20.0,50.0,0.0
125.0,normal,C,S,0.02,0.0,13.87,28.0,50.0,0.0
125.0,normal,C,E,0.18,6.0,3.4,0.0,50.0,0.0
125.0,normal,C,W,0.14,4.0,2.68,0.0,50.0,0.0
130.0,normal,C,N,0.06,0.0,13.38,18.0,50.0,0.0
130.0,normal,C,S,0.04,0.0,13.16,24.0,50.0,0.0
130.0,normal,C,E,0.2,7.0,3.04,0.0,50.0,0.0
130.0,normal,C,W,0.14,5.0,3.27,0.0,50.0,0.0
135.0,normal,C,N,0.06,0.0,12.31,14.0,50.0,1.0
135.0,normal,C,S,0.04,0.0,13.53,22.0,50.0,1.0
135.0,normal,C,E,0.2,8.0,1.73,0.0,50.0,1.0
135.0,normal,C,W,0.16,6.0,2.83,0.0,50.0,1.0
140.0,normal,C,N,0.08,1.0,9.59,8.0,50.0,2.0
140.0,normal,C,S,0.04,0.0,13.42,16.0,50.0,2.0
140.0,normal,C,E,0.18,5.0,2.15,4.0,50.0,2.0
140.0,normal,C,W,0.14,2.0,4.15,4.0,50.0,2.0
145.0,normal,C,N,0.08,2.0,3.38,6.0,50.0,2.0
145.0,normal,C,S,0.06,1.0,7.51,12.0,50.0,2.0
